English,French,Frequency Replaced
abide,respecter,29
about,sur,350
above,au dessus,115
abroad,à l'étranger,20
absence,absence,34
abuse,abuser de,25
according,selon,44
account,Compte,31
accuse,accuser,34
acquainted,connaissance,36
action,action,69
advantage,avantage,52
advice,Conseil,19
affairs,affaires,39
affection,affection,40
affections,affections,24
afraid,peur,25
after,après,346
afterwards,ensuite,29
again,encore,247
alive,vivant,39
almost,presque,156
alone,seul,83
along,le long de,61
already,déjà,69
although,bien que,73
always,toujours,59
ambition,ambition,18
ancient,ancien,64
angel,ange,35
anger,colère,31
another,un autre,330
answer,répondre,272
anything,n'importe quoi,68
apparel,vêtements,25
appear,apparaître,94
appears,apparaît,40
approach,approche,35
argument,argument,38
ariel,Ariel,12
armour,armure,27
aside,de côté,24
asleep,endormi,13
assure,assurer,49
athens,Athènes,36
attend,assister,100
attended,assisté,31
authority,autorité,30
avoid,éviter,25
awake,éveillé,31
awhile,quelque temps,23
banish,bannir,35
barren,Dénudé,33
bassianus,bassianus,17
bastard,Connard,66
battle,bataille,68
beard,barbe,40
bearing,palier,62
bears,ours,85
beast,la bête,36
beaten,battu,34
beauty,beauté,139
because,car,182
become,devenir,134
bedford,Bedford,6
before,avant,689
beggar,mendiant,26
begin,commencer,75
behalf,nom,24
behind,derrière,78
behold,voir,117
being,étant,640
believe,croyez,209
belike,être comme,28
below,au dessous de,31
benefit,avantage,29
besides,outre,39
betray,trahir,36
better,mieux,501
between,entre,229
beyond,au-delà,57
birth,naissance,30
bishop,évêque,39
bitter,amer,65
black,noir,122
blame,faire des reproches,56
bless,bénir,103
blessing,bénédiction,27
blest,heureux,39
blind,aveugle,51
blood,du sang,344
blows,coups,40
blunt,cru,25
blush,rougir,32
bodies,corps,30
bones,des os,37
borne,supporté,63
bottom,bas,33
bought,acheté,42
bound,lié,133
bounty,prime,22
brain,cerveau,43
brains,cerveaux,22
brave,courageux,148
breast,Sein,35
breath,souffle,116
breed,race,41
brief,bref,39
bright,brillant,52
bring,apporter,435
broke,cassé,73
brook,ruisseau,32
brother,frère,269
brought,apporté,188
brows,sourcils,21
burden,fardeau,27
buried,enterré,38
burning,brûlant,37
business,Entreprise,130
cannot,ne peux pas,719
capitol,Capitole,8
captain,capitaine,72
cardinal,cardinal,45
cares,se soucie,26
carry,porter,81
castle,Château,35
catch,capture,57
cause,cause,208
cease,cesser,29
certain,certain,121
chain,chaîne,31
chair,chaise,16
challenge,défi,35
chamber,chambre,48
chance,chance,70
change,changement,121
charge,charge,131
charity,charité,23
chaste,chaste,26
cheek,joue,38
cheer,acclamation,43
chide,gronder,39
chief,chef,105
child,enfant,105
choice,choix,36
church,église,22
cinna,cinna,4
citizen,citoyenne,8
civil,civil,43
claim,prétendre,50
clarence,clarté,43
claud,claud,0
claudio,Claudio,43
clear,clair,44
clifford,Clifford,31
close,proche,69
cloten,cailloter,13
clothes,vêtements,22
clouds,des nuages,36
clown,pitre,39
college,Université,224
colour,Couleur,47
comes,vient,513
comfort,confort,115
coming,venir,82
cominius,cominius,17
command,commander,98
commanded,commandé,29
commend,saluer,83
commercial,commercial,221
commission,commission,27
commit,commettre,34
common,commun,137
companion,un compagnon,19
company,entreprise,73
complete,Achevée,241
complexion,complexion,23
condition,état,31
conduct,conduite,42
confess,avouer,90
conscience,conscience,62
consent,consentement,56
consider,considérer,40
constable,gendarme,17
constant,constant,37
contempt,mépris,22
content,contenu,85
contrary,contraire,20
copies,copies,445
copyright,droits d'auteur,228
could,pourrait,603
council,conseil,29
counsel,Conseil,66
count,compter,79
counterfeit,contrefaire,28
countess,comtesse,17
country,pays,80
courage,courage,34
course,cours,100
court,tribunal,113
courtesy,courtoisie,18
cousin,cousin,109
coward,lâche,37
crave,demander,40
creature,créature,35
credit,crédit,30
cromwell,Cromwell,5
cross,traverser,47
crown,couronne,123
cruel,cruel,55
cunning,ruse,58
cupid,Cupidon,26
curse,malédiction,70
custom,Douane,24
dagger,dague,24
damned,damné,44
dance,Danse,35
danger,danger,56
darkness,obscurité,24
daughter,fille,193
deadly,mortel,42
dearest,très cher,51
dearly,chèrement,20
death,décès,357
deeds,actes,71
defend,défendre,61
degree,diplôme,23
delight,délice,35
deliver,livrer,88
demand,demande,38
denied,refusé,41
depart,partir,36
desert,désert,24
deserve,mériter,53
desire,le désir,171
despair,désespoir,29
desperate,désespéré,41
despite,malgré,42
device,dispositif,17
devil,diable,129
devise,concevoir,37
didst,didst,178
dinner,dîner,24
discourse,discours,31
discover,découvrir,31
disgrace,disgrâce,33
dishonour,déshonorer,33
dispatch,envoi,32
displeasure,mécontentement,23
disposition,disposition,23
distributed,distribué,442
divine,Divin,29
doctor,docteur,43
doing,Faire,51
dolabella,Dolabella,6
doors,des portes,35
double,double,66
doubt,doute,117
download,Télécharger,221
dramatis,dramatis,36
drawn,tiré,59
dread,crainte,43
dreadful,horrible,57
dream,rêver,62
dreams,rêves,27
drink,boisson,102
drops,gouttes,43
drown,noyer,39
drums,tambours,22
drunk,ivre,39
duncan,Duncan,10
durst,durst,49
dwell,habiter,30
dying,en train de mourir,30
early,de bonne heure,39
earth,Terre,139
edmund,Edmund,25
effect,effet,43
egypt,Egypte,15
either,Soit,152
elbow,coude,6
elder,aîné,28
embrace,embrasse,53
emilia,Émilie,5
emperor,empereur,48
empty,vide,39
encounter,rencontre,40
endure,supporter,64
enemies,ennemis,35
enemy,ennemi,78
enjoy,prendre plaisir,38
enobarbus,énobarbus,18
enough,assez,155
enter,entrer,2013
entertain,divertir,35
entertainment,divertissement,18
entreat,supplier,99
equal,égal,43
estate,biens,28
eternal,éternel,34
every,chaque,491
everything,tout,35
excellent,excellent,92
except,sauf,33
excuse,excuse,57
execution,exécution,25
exeter,Exeter,18
exeunt,sortir,841
express,Express,32
faces,visages,22
faint,perdre connaissance,26
fairy,Fée,43
faith,Foi,75
falls,des chutes,47
false,faux,217
familiar,familier,29
